Business Name,Business Startdate,City,State,Street Direction,Street Name,Street Number,Street Suffix,Zip,Business Class,Reason for Applying,Latitude,Longitude,Location
SERVICE ONE JANITORIAL,07/30/2002,CHATTANOOGA,TN,N,MOORE,1409,RD,37411,,1 - New Business,,,
TITTLE CONSTRUCTION & RENOVATION LLC,12/01/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
3PD INC,05/09/2009,CHATTANOOGA,TN,,ENTERPRISE PARK,6300,DR,37416,,1 - New Business,35.0678120600001,-85.1772457179999,"(35.0678120600001, -85.1772457179999)"
KANGAROO EXPRESS #3515,10/16/2003,CHATTANOOGA,TN,E,BRAINERD,8701,RD,37421-4416,,1 - New Business,,,
J & J'S DINER,04/12/2010,CHATTANOOGA,TN,,CHERRY,723,ST,37402,,1 - New Business,35.0476740450001,-85.3085323889999,"(35.0476740450001, -85.3085323889999)"
COLONY 13,,CHATTANOOGA,TN,,NORTHGATE MALL,403,DR,37415,,1 - New Business,,,
JIM MORRISON BUILDER,02/14/2001,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,HWY,37402,,1 - New Business,,,
CREATIVE CONCEPTS - AMANDA LEBLANC,04/20/2012,CHATTANOOGA,TN,,PERIMETER,6231,DR,37412,,1 - New Business,35.029933473,-85.184089141,"(35.029933473, -85.184089141)"
LE NAILS,07/01/2012,CHATTANOOGA,TN,,TENNESSEE,3800,AVE,37409,,1 - New Business,35.0092315260001,-85.326611062,"(35.0092315260001, -85.326611062)"
TROPICAL EXPRESS,05/22/2014,HIXSON,TN,,GADD,602,RD,37343,,1 - New Business,35.141452842,-85.261025488,"(35.141452842, -85.261025488)"
DISCOUNT LIQUOR,09/01/2012,CHATTANOOGA,TN,,LEE,7703,HWY,37421,,1 - New Business,35.0614061730001,-85.134157192,"(35.0614061730001, -85.134157192)"
GUY ROOFING INC,04/11/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,00000,,1 - New Business,,,
TRACK 29 LLC,09/01/2011,CHATTANOOGA,TN,,MARKET,1400,ST,37408,,1 - New Business,35.0372341500001,-85.306838022,"(35.0372341500001, -85.306838022)"
WOLF CAMERA #1606,07/23/2009,CHATTANOOGA,TN,,HAMILTON PLACE,2100,BLVD,37421,,1 - New Business,35.0345349300001,-85.158710836,"(35.0345349300001, -85.158710836)"
"COBB & ASSOCIATES, INC",08/16/1984,CHATTANOOGA,TN,,MINNEKAHDA,1512,RD,37405,,1 - New Business,35.074937951,-85.286110245,"(35.074937951, -85.286110245)"
AUTOCRAFT RESTYLING,01/01/2006,CHATTANOOGA,TN,,EAST BRAINERD,8029,RD,37421,,1 - New Business,,,
RNH PROFESSIONAL PAINTING,10/01/2011,CHATTANOOGA,TN,,DEERFOOT,3822,DR,37406,,1 - New Business,35.0713419480001,-85.21133983,"(35.0713419480001, -85.21133983)"
CHATTANOOGA TANK WASH LLC,09/01/2008,CHATTANOOGA,TN,,PINEVILLE,901,RD,37405,,1 - New Business,35.068204585,-85.330784864,"(35.068204585, -85.330784864)"
C & D RECYCLE,06/01/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,37402,,1 - New Business,,,
TN GROCERY VALET,01/01/2015,CHATTANOOGA,TN,,CAMERON,5008,LN,37411,,1 - New Business,,,
REAL ESTATE INFORMATION SERV,01/01/1994,CHATTANOOGA,TN,,AMNICOLA,2963,HWY,37406,,1 - New Business,35.0783831750001,-85.266673704,"(35.0783831750001, -85.266673704)"
KORS,12/10/2014,CHATTANOOGA,TN,,BRAINERD,5948,RD,37421,,1 - New Business,35.0161012080001,-85.207563943,"(35.0161012080001, -85.207563943)"
CRABTREE JEWELERS,06/01/2001,CHATTANOOGA,TN,,TARPON,4610,TRL,37416,,1 - New Business,35.0915387900001,-85.198990798,"(35.0915387900001, -85.198990798)"
LE PARK NAIL SPA,04/01/2005,CHATTANOOGA,TN,,RIVER,135,ST,37405,,1 - New Business,,,
1-800-VEHICLES.COM CHATTANOOGA,04/30/2012,CHATTANOOGA,TN,,GUNBARREL,2288,RD,37421,,1 - New Business,35.0366813150001,-85.1501846899999,"(35.0366813150001, -85.1501846899999)"
CAKE GALLERY,05/01/2005,CHATTANOOGA,TN,,CHEROKEE,23,BLVD,37405,,1 - New Business,35.063515352,-85.309615491,"(35.063515352, -85.309615491)"
FAST FOOD & FUEL #3534,06/23/2006,CHATTANOOGA,TN,W,20TH,100,ST,37408-2524,,1 - New Business,,,
GWOPP SQUAD,04/25/2013,CHATTANOOGA,TN,,LONG,2712,ST,37408,,1 - New Business,35.023844147,-85.31497107,"(35.023844147, -85.31497107)"
MCCRAY MILLWORK & LUMBER CO,08/01/2013,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
SUMMER SETT REALTY,10/26/2007,CHATTANOOGA,TN,E,MAIN,2311,ST,37404,,1 - New Business,,,
SCENIC CITY SUBWAY #3011,10/14/1987,HIXSON,TN,,HWY 153,5251,,37343,,1 - New Business,35.1258932110001,-85.241359439,"(35.1258932110001, -85.241359439)"
BLIMPIE,02/01/2002,CHATTANOOGA,TN,,TENNESSEE,3801,AVE,37409,,1 - New Business,,,
MCDONALDS RESTAURANT,02/25/2004,CHATTANOOGA,TN,,LEE,6220,HWY,37421,,1 - New Business,35.030295316,-85.184655946,"(35.030295316, -85.184655946)"
GAME ON CHATTANOOGA,03/07/2013,CHATTANOOGA,TN,,LEE,7510,HWY,37421,,1 - New Business,35.057089972,-85.139169131,"(35.057089972, -85.139169131)"
MARKET PLACE HOLDING INC,04/10/2010,CHATTANOOGA,TN,,CHEROKEE,620,BLVD,37405,,1 - New Business,35.069328141,-85.318201565,"(35.069328141, -85.318201565)"
SWEETLY SOUTHERN,11/03/1989,CHATTANOOGA,TN,,MARKET,1400,ST,37408,,1 - New Business,35.0372341500001,-85.306838022,"(35.0372341500001, -85.306838022)"
UNIQUE GIFTS & DESIGNS,09/13/2010,CHATTANOOGA,TN,,HERITAGE PARK,6111,DR,37416,,1 - New Business,35.0729814800001,-85.186454816,"(35.0729814800001, -85.186454816)"
WILL FIX BONDING,12/17/2010,CHATTANOOGA,TN,,WALNUT,615,ST,37402,,1 - New Business,35.0488763180001,-85.307567932,"(35.0488763180001, -85.307567932)"
LIZ POWER PHOTOGRAPHY,02/04/1994,CHATTANOOGA,TN,,VALLEY,3537,TRL,37415,,1 - New Business,35.1219508990001,-85.3111094829999,"(35.1219508990001, -85.3111094829999)"
SPECIALITY BROKERAGE,06/01/2006,CHATTANOOGA,TN,,10TH,3100,AVE,37407,,1 - New Business,35.0058614390001,-85.279863505,"(35.0058614390001, -85.279863505)"
TOUCH INFORMATION INC,07/25/1984,CHATTANOOGA,TN,,MCCALLIE,871,AVE,37403,,1 - New Business,35.042843186,-85.292682176,"(35.042843186, -85.292682176)"
TRUCK 'N TRAILERS USA INC,09/08/1992,CHATTANOOGA,TN,N,ACCESS,4591,RD,37415,,1 - New Business,,,
