Month,Increase Job Growth: Unemployment Rate,Increase Job Growth: New Jobs,Increase Job Growth: New Business Licenses,Increase Economic Investment: Capital Investment,Increase Economic Investment: Commercial # of Permits,Increase Economic Investment: Commercial Amounts,Increase Economic Investment: Industrial # of permits,Increase Economic Investment: Industrial Amounts,Increase Economic Investment: Institutional # of permits,Increase Economic Investment: Institutional Amounts,Increase Economic Investment: Total Non-Residental # of permits,Increase Economic Investment: Total Non-residential amounts,Increase Hotel Tax Revenue: 
06/30/2013 12:00:00 AM,,,134,,,,,,,,,,$438956.12
05/31/2015 12:00:00 AM,,,135,,40,$12959476.00,4,$8301046.00,0,$0.00,44,$21260522.00,$554475.25
04/30/2015 12:00:00 AM,,,119,,63,$11842884.00,7,$28042846.00,2,$603896.00,72,$40489626.00,$560214.87
01/31/2014 12:00:00 AM,,,119,,31,$11881411.72,0,$0.00,1,$5000000.00,32,$16881411.71,$322114.52
06/30/2014 12:00:00 AM,7.20%,788,113,$176000000.00,40,$5200539.73,5,$15605000.00,2,$847805.00,47,$21653344.73,$494728.52
08/31/2015 12:00:00 AM,,,97,,44,$10764488.00,2,$286000.00,2,$2024393.00,48,$13074881.00,$687797.47
03/31/2016 12:00:00 AM,4.60%,301,131,$43000000.00,47,$9230130.00,1,$20000.00,4,$2662435.00,52,$11912565.00,$434910.49
01/31/2017 12:00:00 AM,,,135,,57,$17778937.00,2,$9779352.00,0,$0.00,59,$27558289.00,$422980.99
12/31/2016 12:00:00 AM,,,89,,52,$27170529.44,1,$125000.00,2,$33997.00,55,$27329526.44,$554184.07
11/30/2013 12:00:00 AM,,,119,,31,$5592875.00,5,$8279302.00,2,$113699.00,38,$13985876.00,$469269.71
08/31/2014 12:00:00 AM,,,105,,63,$13468550.32,2,$831776.00,8,$10438192.00,73,$24738518.32,$625182.78
10/31/2016 12:00:00 AM,,,115,,55,$28098914.00,2,$3280000.00,0,$0.00,57,$31378914.00,$586271.47
03/31/2014 12:00:00 AM,7.70%,85,143,$11000000.00,65,$9375157.47,3,$723132.00,2,$920000.00,70,$11018289.47,$366368.25
12/31/2014 12:00:00 AM,7.00%,376,130,$35100000.00,48,$20368750.00,3,$717000.00,1,$22255.00,52,$21108005.00,$421293.00
09/30/2016 12:00:00 AM,,,119,,49,$13922883.00,4,$7303278.00,2,$4854950.00,55,$26081111.00,$571783.10
