Month,Increase Job Growth: Unemployment Rate,Increase Job Growth: New Jobs,Increase Job Growth: New Business Licenses,Increase Economic Investment: Capital Investment,Increase Economic Investment: Commercial # of Permits,Increase Economic Investment: Commercial Amounts,Increase Economic Investment: Industrial # of permits,Increase Economic Investment: Industrial Amounts,Increase Economic Investment: Institutional # of permits,Increase Economic Investment: Institutional Amounts,Increase Economic Investment: Total Non-Residental # of permits,Increase Economic Investment: Total Non-residential amounts,Increase Hotel Tax Revenue: 
06/30/2014 12:00:00 AM,7.20%,788,113,$176000000.00,40,$5200539.73,5,$15605000.00,2,$847805.00,47,$21653344.73,$494728.52
03/31/2016 12:00:00 AM,4.60%,301,131,$43000000.00,47,$9230130.00,1,$20000.00,4,$2662435.00,52,$11912565.00,$434910.49
03/31/2014 12:00:00 AM,7.70%,85,143,$11000000.00,65,$9375157.47,3,$723132.00,2,$920000.00,70,$11018289.47,$366368.25
12/31/2014 12:00:00 AM,7.00%,376,130,$35100000.00,48,$20368750.00,3,$717000.00,1,$22255.00,52,$21108005.00,$421293.00
09/30/2013 12:00:00 AM,9.10%,1343,130,$71350000.00,41,$4337910.00,1,$132000.00,0,$0.00,42,$4469910.00,$498164.11
09/30/2014 12:00:00 AM,8.17%,2087,128,$607450000.00,54,$12863828.00,2,$15580000.00,1,$811000.00,57,$29254828.00,$522394.24
09/30/2015 12:00:00 AM,6.10%,614,126,$81300000.00,56,$19167417.64,4,$1787103.00,1,$5000000.00,61,$25954520.64,$564248.47
06/30/2015 12:00:00 AM,5.80%,947,133,$198500000.00,53,$11145117.00,6,$13913041.00,5,$5318158.00,64,$30376316.00,$584191.74
03/31/2015 12:00:00 AM,6.00%,400,127,$40100000.00,62,$16449024.00,5,$13600000.00,7,$722398.00,74,$30771422.00,$375455.07
12/31/2013 12:00:00 AM,8.20%,124,111,$32200000.00,37,$8825568.00,3,$10950000.00,1,$1000000.00,41,$20775568.00,$397621.31
12/31/2015 12:00:00 AM,5.50%,50,106,$102350000.00,59,$38433447.37,10,$9825900.00,1,$50000.00,70,$48309347.37,$492744.31
